relative_path,name,bytes,matched_reference_norm
COLEÇÃO  - 2021 INVERNO\2136-CB59.jpg,2136-CB59.jpg,72193,2136
COLEÇÃO  - 2021 INVERNO\2136-CB60.jpg,2136-CB60.jpg,73281,2136
COLEÇÃO  - 2021 INVERNO\2136-CB61.jpg,2136-CB61.jpg,74116,2136
COLEÇÃO  - 2021 INVERNO\2136-CB62.jpg,2136-CB62.jpg,77050,2136
COLEÇÃO  - 2021 INVERNO\2136-CB62_B.jpg,2136-CB62_B.jpg,84719,2136
COLEÇÃO  - 2021 INVERNO\2136-CB62_C.jpg,2136-CB62_C.jpg,77417,2136
COLEÇÃO  - 2021 INVERNO\2136-CB62_D.jpg,2136-CB62_D.jpg,72501,2136
COLEÇÃO  - 2021 INVERNO\2136-CB62_E.jpg,2136-CB62_E.jpg,68120,2136
COLEÇÃO  - 2021 INVERNO\2136-CB63.jpg,2136-CB63.jpg,39533,2136
COLEÇÃO  - 2021 INVERNO\CF134-CB39.jpg,CF134-CB39.jpg,97986,CF134
COLEÇÃO  - 2021 INVERNO\CF134-CB40.jpg,CF134-CB40.jpg,84666,CF134
COLEÇÃO  - 2021 INVERNO\CF165-CB15.jpg,CF165-CB15.jpg,85930,CF165
COLEÇÃO  - 2021 INVERNO\CF165-CB16.jpg,CF165-CB16.jpg,90342,CF165
COLEÇÃO  - 2021 INVERNO\CF165-CB17.jpg,CF165-CB17.jpg,85203,CF165
COLEÇÃO  - 2021 INVERNO\CF165-CB18.jpg,CF165-CB18.jpg,81142,CF165
COLEÇÃO  - 2021 INVERNO\CF165-CB19.jpg,CF165-CB19.jpg,79232,CF165
COLEÇÃO  - 2021 INVERNO\CF165-CB20.jpg,CF165-CB20.jpg,79266,CF165
COLEÇÃO  - 2021 INVERNO\CF166-CB16.jpg,CF166-CB16.jpg,76736,CF166
COLEÇÃO  - 2021 INVERNO\CF166-CB18.jpg,CF166-CB18.jpg,79820,CF166
COLEÇÃO  - 2021 INVERNO\CF166-CB19.jpg,CF166-CB19.jpg,81098,CF166
COLEÇÃO  - 2021 INVERNO\CF176-CB11.jpg,CF176-CB11.jpg,82346,CF176
COLEÇÃO  - 2021 INVERNO\CF176-CB13.jpg,CF176-CB13.jpg,86854,CF176
COLEÇÃO  - 2021 INVERNO\CF176-CB14.jpg,CF176-CB14.jpg,92284,CF176
COLEÇÃO  - 2021 INVERNO\CF176-CB15.jpg,CF176-CB15.jpg,83998,CF176
COLEÇÃO - 2020\040-0-CB11.jpg,040-0-CB11.jpg,89258,0400
COLEÇÃO - 2020\040-0-CB13.jpg,040-0-CB13.jpg,97932,0400
COLEÇÃO - 2020\040-0-CB15.jpg,040-0-CB15.jpg,121780,0400
COLEÇÃO - 2020\040-0-CB16.jpg,040-0-CB16.jpg,125227,0400
COLEÇÃO - 2020\040-0-CB19.jpg,040-0-CB19.jpg,133807,0400
COLEÇÃO - 2020\040-0-CB23.jpg,040-0-CB23.jpg,150863,0400
COLEÇÃO - 2020\040-0-CB26.jpg,040-0-CB26.jpg,140389,0400
COLEÇÃO - 2020\040-0-CB30_A.jpg,040-0-CB30_A.jpg,146888,0400
COLEÇÃO - 2020\040-0-CB30_B.jpg,040-0-CB30_B.jpg,138609,0400
COLEÇÃO - 2020\040-0-CB30_C.jpg,040-0-CB30_C.jpg,136672,0400
COLEÇÃO - 2020\040-0-CB30_D.jpg,040-0-CB30_D.jpg,111268,0400
COLEÇÃO - 2020\040-0-CB30_E.jpg,040-0-CB30_E.jpg,126058,0400
COLEÇÃO - 2020\040-0-CB31.jpg,040-0-CB31.jpg,126419,0400
COLEÇÃO - 2020\040-0-CB32.jpg,040-0-CB32.jpg,103534,0400
COLEÇÃO - 2020\040-0-CB39.jpg,040-0-CB39.jpg,136264,0400
COLEÇÃO - 2020\040-0-CB40.jpg,040-0-CB40.jpg,143867,0400
COLEÇÃO - 2020\091-0-CB08.jpg,091-0-CB08.jpg,124356,0910
COLEÇÃO - 2020\091-0-CB11.jpg,091-0-CB11.jpg,115177,0910
COLEÇÃO - 2020\091-0-CB13.jpg,091-0-CB13.jpg,141251,0910
COLEÇÃO - 2020\091-0-CB15.jpg,091-0-CB15.jpg,163056,0910
